BALANCE,19870.0
Ministry of Interior,4.16366801E9
Ministry of Foreign Affairs,4.8323701E8
Ministry of National Defense,7.06327201E9
Ministry of Health,7.84194501E9
Ministry of Justice,6.7957701E8
Ministry of Education, Religious Affairs, and Sports,6.76393301E9
Ministry of Culture,6.5310901E8
Ministry of National Economy and Finance,1.71740892001E12
Ministry of Rural Development and Food,1.50387701E9
Ministry of Environment and Energy,3.13343201E9
Ministry of Labor and Social Security,1.910107801E10
Ministry of Social Cohesion and Family,3.80331601E9
Ministry of Development,7.9847601E8
Ministry of Infrastructure and Transport,3.391756E9
Ministry of Shipping and Island Policy,7.56593E8
Ministry of Tourism,2.37992E8
Ministry of Digital Governance,1.391403E9
Ministry of Migration and Asylum,5.36133E8
Ministry of Citizen Protection,2.603285E9
Ministry of Climate Crisis and Civil Protection,1.438115E9
