1007   Υπουργείο Εσωτερικών 3.337.487.000 368.000.000 3.705.487.000
1009   Υπουργείο Εξωτερικών 384.892.000 23.000.000 407.892.000
1011 Υπουργείο Εθνικής Άμυνας 6.093.388.000 30.000.000 6.123.388.000
1015  Υπουργείο Υγείας 5.705.031.000 322.000.000 6.027.031.000
1017  Υπουργείο Δικαιοσύνης 559.464.000 66.000.000 625.464.000
1020  Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού 5.452.630.000 1.095.000.000 6.547.630.000
1022  Υπουργείο Πολιτισμού  258.113.000 142.000.000 400.113.000
1024  Υπουργείο Εθνικής Οικονομίας και Οικονομικών 1.047.177.798.000 2.720.000.000 1.049.897.798.000
1029  Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων 203.694.000 981.000.000 1.184.694.000
1031  Υπουργείο Περιβάλλοντος και Ενέργειας 295.158.000 1.528.000.000 1.823.158.000
1032  Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης 18.019.492.000 610.000.000 18.629.492.000
1034  Υπουργείο Κοινωνικής Συνοχής και Οικογένειας 3.718.039.000 274.000.000 3.992.039.000
1036  Υπουργείο Ανάπτυξης 125.661.000 799.000.000 924.661.000
1039  Υπουργείο Υποδομών και Μεταφορών 883.117.000 1.467.000.000 2.350.117.000
1041  Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής 311.280.000 265.000.000 576.280.000
1045  Υπουργείο Τουρισμού 38.787.000 129.000.000 167.787.000
1053  Υπουργείο Ψηφιακής Διακυβέρνησης 185.765.000 658.000.000 843.765.000
1055  Υπουργείο Μετανάστευσης και Ασύλου 124.304.000 349.000.000 473.304.000
1057    Υπουργείο Προστασίας του Πολίτη 2.184.973.000 78.000.000 2.262.973.000
1060   Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας 679.610.000 257.000.000 936.610.000
